price,title,url
23400,"MI 43"" LED SMART TV, 32""-14400 Y2 4+64 GB 13200",https://www.olx.in/item/mi-43-led-smart-tv-32-14400-y2-4-64-gb-13200-ID1mlWsj.html
4650,"8"" Home Theater DJ Bluetooth, USB, FM ,Aux-In",https://www.olx.in/item/8-home-theater-dj-bluetooth-usb-fm-aux-in-ID1mlWAn.html
999,Blue And black Motorola Pulse 3 Wired Headset With Mic,https://www.olx.in/item/blue-and-black-motorola-pulse-3-wired-headset-with-mic-ID1mlWvZ.html
1000,Brand new amplifier with 2 speaker supper sound,https://www.olx.in/item/brand-new-amplifier-with-2-speaker-supper-sound-ID1mlWyW.html
20000,Silver Flat Screen TV,https://www.olx.in/item/silver-flat-screen-tv-ID1mlWy7.html
80,Air hole closer 3pcs,https://www.olx.in/item/air-hole-closer-3pcs-ID1mlUuh.html
10500,Tea stall in steel verry good condition,https://www.olx.in/item/tea-stall-in-steel-verry-good-condition-ID1mlUzl.html
58000,Brand new BOSE SOLO 15 SERIES II TV SOUND SYSTEM.,https://www.olx.in/item/brand-new-bose-solo-15-series-ii-tv-sound-system-ID1mlUyw.html
2000,98 seriess numbers rtp,https://www.olx.in/item/98-seriess-numbers-rtp-ID1mlUEN.html
6499,Flat Screen 24 inch sony panel with Warranty,https://www.olx.in/item/flat-screen-24-inch-sony-panel-with-warranty-ID1mlU5T.html
800,Black And Gray CRT TV,https://www.olx.in/item/black-and-gray-crt-tv-ID1mlUzL.html
26500,"Ultra Smooth Motion 50"" 4k Full HD Led tv with 1yr warranty",https://www.olx.in/item/ultra-smooth-motion-50-4k-full-hd-led-tv-with-1yr-warranty-ID1mlUGr.html
5000,LG TV 24 inch Tv Good condition And 1 hand,https://www.olx.in/item/lg-tv-24-inch-tv-good-condition-and-1-hand-ID1mlUJ9.html
1500,Brown Wooden TV Hutch With Flat Screen Television,https://www.olx.in/item/brown-wooden-tv-hutch-with-flat-screen-television-ID1mlUEw.html
